,logg,Teff,Z,aLSM,bLSM
403,3.5,4500,-3.0,0.058492994305003945,0.24459026851181925
404,4.0,4500,-3.0,0.04580679207094085,0.2199921079879975
405,4.5,4500,-3.0,0.033808686087558826,0.200183234570792
406,5.0,4500,-3.0,0.02321108133508576,0.1884004013573114
407,3.5,4750,-3.0,0.06859541497870539,0.24731347910725296
408,4.0,4750,-3.0,0.057358506870491044,0.2348882408187981
409,4.5,4750,-3.0,0.046685984107500515,0.213693838984449
410,5.0,4750,-3.0,0.03532616266244173,0.1961255060902797
411,3.5,5000,-3.0,0.08792007401767306,0.23777750230716838
412,4.0,5000,-3.0,0.07035818527608026,0.240380629727276
413,4.5,5000,-3.0,0.06034392117271072,0.23063797702460018
414,5.0,5000,-3.0,0.04945001302183952,0.21733134255419032
415,3.5,5250,-3.0,0.09554218000673095,0.2307834845841513
416,4.0,5250,-3.0,0.08025124716443441,0.2350428064370369
417,4.5,5250,-3.0,0.06767455160501537,0.23357374438035663
418,5.0,5250,-3.0,0.05590762900104096,0.2266633979401834
419,3.5,5500,-3.0,0.0988063315057614,0.22526723498659598
420,4.0,5500,-3.0,0.08833612683638319,0.22944671560358126
421,4.5,5500,-3.0,0.07727529356567996,0.23122826767627408
422,5.0,5500,-3.0,0.06673812077082669,0.2288131847821132
423,3.5,5750,-3.0,0.09494281639230619,0.22553830717127696
424,4.0,5750,-3.0,0.08799287989550933,0.2289469358978688
425,4.5,5750,-3.0,0.0807240655574663,0.22953096997042377
426,5.0,5750,-3.0,0.07148725329636552,0.22892523970242026
427,3.5,6000,-3.0,0.085054235039143,0.22600530795077053
428,4.0,6000,-3.0,0.0818917052807918,0.22943857688919828
429,4.5,6000,-3.0,0.07892974944242188,0.23027159119040627
430,5.0,6000,-3.0,0.07379892074237691,0.22954192846859417
431,3.5,6250,-3.0,0.07708051928308204,0.2260748929023157
432,4.0,6250,-3.0,0.07535043878324404,0.23069233837456388
433,4.5,6250,-3.0,0.07417315864278322,0.2327557052686254
434,5.0,6250,-3.0,0.07254334052445617,0.2309534342831812
